data,etanol_milho,etanol_cana,gasolina,etanol_total,diesel
2023,6000000,24015826.2326184,31732239.1555265,30015826.2326184,56586159.9171681
2024,7200000,25207465.6675607,31831646.1480547,32407465.6675607,56699657.0323523
2025,8280000,26670109.8742181,30417890.9999174,34950109.8742181,59377142.4730355
2026,9108000,30343055.8718265,27399214.8110102,39451055.8718265,60007499.3252579
2027,9563400,32559313.8845175,26058916.2377089,42122713.8845175,60414121.0420382
2028,10041570,34494241.1768298,24958776.8489771,44535811.1768298,60955165.7357997
2029,10543648.5,37467898.949869,23314473.3974996,48011547.449869,62207659.1509699
2030,11070831,37949365.7974323,23313691.2061585,49020196.7224323,62686530.0196554
2031,11624372.47125,39040768.2502849,23011905.9517914,50665140.7215349,63907379.4453773
2032,12205591.0948125,39083336.1790523,23459420.1477122,51288927.2738648,65120915.6989782
2033,12815870.6495531,40031220.3815145,23415365.9711113,52847091.0310676,66328597.8123345
