PIB,Date
189323,1996-03-31
204611,1996-06-30
221513,1996-09-30
239316,1996-12-31
219117,1997-03-31
232890,1997-06-30
246178,1997-09-30
253904,1997-12-31
235701,1998-03-31
251936,1998-06-30
258043,1998-09-30
256671,1998-12-31
250668,1999-03-31
268709,1999-06-30
274126,1999-09-30
294208,1999-12-31
276927,2000-03-31
292789,2000-06-30
308896,2000-09-30
320481,2000-12-31
312470,2001-03-31
323724,2001-06-30
332524,2001-09-30
347038,2001-12-31
342297,2002-03-31
367363,2002-06-30
379795,2002-09-30
399333,2002-12-31
397242,2003-03-31
418987,2003-06-30
439350,2003-09-30
462372,2003-12-31
444783,2004-03-31
481795,2004-06-30
505252,2004-09-30
525920,2004-12-31
499710,2005-03-31
535557,2005-06-30
552859,2005-09-30
582458,2005-12-31
554270,2006-03-31
581977,2006-06-30
617848,2006-09-30
655355,2006-12-31
631423,2007-03-31
670655,2007-06-30
691846,2007-09-30
726339,2007-12-31
712055,2008-03-31
769525,2008-06-30
812603,2008-09-30
815620,2008-12-31
756127,2009-03-31
803577,2009-06-30
852843,2009-09-30
920492,2009-12-31
886397,2010-03-31
944145,2010-06-30
997935,2010-09-30
1057370,2010-12-31
1016531,2011-03-31
1086712,2011-06-30
1112334,2011-09-30
1160805,2011-12-31
1129474,2012-03-31
1183126,2012-06-30
1230449,2012-09-30
1271711,2012-12-31
1241614,2013-03-31
1322580,2013-06-30
1354134,2013-09-30
1413291,2013-12-31
1385981,2014-03-31
1422322,2014-06-30
1462125,2014-09-30
1508525,2014-12-31
1456659,2015-03-31
1479970,2015-06-30
1508228,2015-09-30
1550930,2015-12-31
1500299,2016-03-31
1559050,2016-06-30
1577170,2016-09-30
1632808,2016-12-31
1585673,2017-03-31
1630730,2017-06-30
1648635,2017-09-30
1720441,2017-12-31
1682083,2018-03-31
1734099,2018-06-30
1767856,2018-09-30
1820103,2018-12-31
1757554,2019-03-31
1826761,2019-06-30
1880610,2019-09-30
1924206,2019-12-31
1868095,2020-03-31
1752724,2020-06-30
1929323,2020-09-30
2059455,2020-12-31
2156670,2021-03-31
2203639,2021-06-30
2295851,2021-09-30
2355982,2021-12-31
2319528,2022-03-31
2517481,2022-06-30
2601182,2022-09-30
2641485,2022-12-31
2582706,2023-03-31
2701105,2023-06-30
2740961,2023-09-30
2779095,2023-12-31
2747321,2024-03-31
2791446,2024-06-30
2827584,2024-09-30
2865766,2024-12-31
2837747,2025-03-31
2878117,2025-06-30
2914255,2025-09-30
2952437,2025-12-31
2924417,2026-03-31
2964788,2026-06-30
3000926,2026-09-30
3039108,2026-12-31
3011088,2027-03-31
3051459,2027-06-30
3087597,2027-09-30
3125779,2027-12-31
3097759,2028-03-31
3138129,2028-06-30
3174268,2028-09-30
3212450,2028-12-31
3184430,2029-03-31
3224800,2029-06-30
3260939,2029-09-30
3299121,2029-12-31
3271101,2030-03-31
3311471,2030-06-30
3347610,2030-09-30
3385791,2030-12-31
