,data_peso_predito,idGalpao,nroLote,day,peso_predito,sexo,qtde,mort,km,idIntegrador,granja,nucleo,aviario,qtdInicial,consumo,lucro,custo,custoAlimentar
9,2024-10-07,3010104,84122,39.0,2.655128699000899,m,29036.0,-36.0,16.0,SSA,301,1,4,30500.0,3.9762934247976807,76097.31248039159,270904.20790536806,347566.35
9,2024-10-07,2490103,84115,38.0,2.091951928012134,m,19937.0,-23.0,16.6,SSA,249,1,3,21000.0,3.2865162463833304,27794.4329868145,159929.87940827495,237093.68
9,2024-10-07,2490104,84116,38.0,2.4583651755208353,m,20769.0,-24.0,16.6,SSA,249,1,4,21500.0,3.8162142954394325,43231.65408581146,186579.44218728397,243587.85000000003
9,2024-10-07,2590101,84530,37.0,2.6405875142987667,x,21792.0,-19.0,16.4,SSA,259,1,1,22500.0,3.6034823415148405,87750.71191913859,171253.40576616727,240406.92
9,2024-10-07,2590102,84531,37.0,2.485927310329121,x,30651.0,-28.0,16.4,SSA,259,1,2,32000.0,3.311328021899605,116373.48244283421,226585.4246651952,332134.9100000001
9,2024-10-07,2750101,84090,38.0,2.702844227233005,m,18561.0,-22.0,49.5,SSA,275,1,1,20000.0,4.466901095826945,25204.922196938685,200598.95795228615,249548.62
9,2024-10-07,2750102,84091,38.0,2.4119146564209193,x,18720.0,-19.0,49.5,SSA,275,1,2,20000.0,4.1365976985693615,17866.503545100684,185358.33815416577,529464.84
9,2024-10-07,2750103,84093,38.0,2.273213401579782,x,17139.0,-19.0,49.5,SSA,275,1,3,20000.0,3.889409170472404,8560.250425394654,166801.43038263652,244767.07
9,2024-10-07,2750104,84094,38.0,2.3092870079555596,f,18994.0,-14.0,49.5,SSA,275,1,4,20000.0,3.83881303850109,18907.27889820357,178518.2721302111,238608.68000000002
9,2024-10-07,2930101,84511,37.0,2.005003417695956,f,21986.0,-15.0,30.3,SSA,293,1,1,22500.0,3.012809158585697,31866.52055329393,166546.58458843234,231782.99
9,2024-10-07,2930102,84512,37.0,2.1336690298966325,m,20871.0,-23.0,30.3,SSA,293,1,2,21500.0,3.3118557077007997,32635.786292590434,167801.87396710934,239235.77000000002
9,2024-10-07,2970101,84095,37.0,2.3573291282229953,m,20262.0,-23.0,25.4,SSA,297,1,1,21500.0,3.564252667053561,40912.436615367274,174074.2401696733,222374.27999999997
9,2024-10-07,2970102,84096,37.0,2.159338963844378,f,21366.0,-15.0,25.4,SSA,297,1,2,22500.0,3.4555174310895436,24261.66524364543,183398.43454940149,203657.44
9,2024-10-07,2970103,84117,37.0,2.570935620830678,m,30871.0,-35.0,25.4,SSA,297,1,3,32000.0,3.8297542334120145,78487.94383443153,278744.51449710655,340358.47000000003
9,2024-10-07,2970104,84118,37.0,2.2741803437293213,f,32171.0,-23.0,25.4,SSA,297,1,4,33000.0,3.5234781873479553,56173.8633831974,273131.25054416276,329927.6599999999
9,2024-10-07,3010101,84119,39.0,2.2260756298328253,f,30486.0,-22.0,16.0,SSA,301,1,1,31500.0,3.419489535551803,51900.80191864382,253555.6996528831,332738.30000000005
9,2024-10-07,3010102,84120,39.0,2.370534776038801,m,27979.0,-36.0,16.0,SSA,301,1,2,30500.0,3.574862365738437,55572.87718416494,242956.8142528871,369988.4
9,2024-10-07,3010103,84121,39.0,2.258273373083448,f,30569.0,-22.0,16.0,SSA,301,1,3,31500.0,3.613718310482297,45701.35709117539,265016.89040561207,351076.41000000003
9,2024-10-07,3010205,84123,38.0,1.9796295348473958,f,29829.0,-22.0,16.0,SSA,301,2,5,31500.0,3.4373135842640274,15177.071285581507,250608.64136114682,325916.02999999997
9,2024-10-07,3010206,84124,38.0,2.5817081578614003,m,28846.0,-34.0,16.0,SSA,301,2,6,30500.0,4.2524732534864915,51435.14055535471,283763.1222456818,351475.6099999999
9,2024-10-07,3010207,84125,38.0,2.359828504983207,f,28031.0,-21.0,16.0,SSA,301,2,7,30000.0,4.099594209780779,27402.614113687887,270331.12194346456,326664.60000000003
9,2024-10-07,3010208,84126,38.0,2.7042165148090342,m,27037.0,-33.0,16.0,SSA,301,2,8,30000.0,4.447152012655617,50808.410664406954,278277.2618365173,348003.82
9,2024-10-07,2490102,84114,38.0,2.1091896515723496,f,21352.0,-15.0,16.6,SSA,249,1,2,22000.0,3.2086391689643228,34093.95956087398,168610.45433824405,224948.12
9,2024-10-07,3010309,84127,38.0,2.406869050541797,m,28526.0,-35.0,16.0,SSA,301,3,9,32000.0,3.6482580724478133,55239.42877706236,253791.78898037222,357033.61
9,2024-10-07,2490101,84113,38.0,1.9708148417775413,f,21991.0,-16.0,16.6,SSA,249,1,1,22500.0,3.1740334168127924,23081.25686522873,171992.9346588414,216428.33000000002
9,2024-10-07,2450101,84032,44.0,3.019889578751779,m,17976.0,-45.0,35.7,SSA,245,1,1,19000.0,4.839323770123198,57725.1827116342,186614.01062782234,238734.93000000002
9,2024-10-07,1700205,83817,42.0,2.846945389020647,m,30040.0,-53.0,39.6,SSA,170,2,5,31500.0,4.837130584155459,54489.79505120678,330445.8048760905,391564.29
9,2024-10-07,1700206,83818,42.0,2.4211423265559864,f,31628.0,-32.0,39.6,SSA,170,2,6,32500.0,4.251924721199199,30409.651462510286,314258.4271964014,371335.19
9,2024-10-07,1880101,84159,37.0,2.0432665550484703,f,18637.0,-14.0,11.2,SSA,188,1,1,20000.0,3.2721795950463908,27120.870173131378,144278.82472462763,455928.52
9,2024-10-07,1880102,84157,37.0,2.3709000131035878,m,17993.0,-21.0,11.2,SSA,188,1,2,19000.0,3.5757499991516455,48780.2960849923,143230.5812299213,462313.66
