;0;1;2;3;4;5;6;7;8;9
0;2970103;84117;2024-10-15;45;30427;3,3519;5,7029;74018,5342;385027,6677;SSA
1;3900102;84146;2024-10-14;45;31515;2,8421;4,7965;54613,5707;348532,976;SSA
2;3010309;84127;2024-10-14;45;28117;3,0265;5,1572;50536,9765;332474,9538;SSA
3;1700101;83813;2024-10-11;46;20436;3,1252;5,9325;40995,9746;246463,4315;SSA
4;3010205;84123;2024-10-12;43;29689;2,3167;4,3874;6115,3197;303463,8047;SSA
5;3900101;84145;2024-10-15;46;30033;3,2091;5,1561;80411,639;353391,1425;SSA
6;3840212;84031;2024-10-07;45;40544;3,2851;5,8656;73379,1093;526107,1959;SSA
7;2490104;84116;2024-10-15;46;20418;3,1686;5,6368;35501,676;255697,6477;SSA
8;3350104;83741;2024-10-08;46;28801;3,2274;5,6699;46439,508;371941,8245;SSA
9;3820101;84097;2024-10-10;43;40813;2,5807;4,4544;90712,0396;383364,0534;SSA
10;3840214;84053;2024-10-07;44;38229;2,6202;4,3027;60850,4621;390001,0046;SSA
11;1700102;83814;2024-10-11;46;19422;2,968;5,6373;31718,2495;227743,4024;SSA
12;2450101;84032;2024-10-08;45;17922;3,1056;5,0672;56693,4149;193826,6446;SSA
13;2450102;84033;2024-10-09;44;19214;2,8614;5,0764;751,833;246711,7618;SSA
14;120103;84111;2024-10-11;45;19506;3,5149;5,7963;50037,7162;258556,4614;SSA
15;3820103;84099;2024-10-10;43;40954;2,9777;5,0051;86871,9483;462020,5785;SSA
16;3880102;84025;2024-10-08;43;38092;2,9444;4,6073;93622,8497;411207,6422;SSA
17;2100204;84148;2024-10-15;47;20530;2,7227;5,2592;8206,2846;243387,8905;SSA
18;3820209;84105;2024-10-10;44;40325;3,0305;5,3638;65670,1178;484376,715;SSA
19;3090102;83826;2024-10-10;47;20076;3,0171;5,4743;17559,1486;255068,8147;SSA
20;3820102;84098;2024-10-10;43;42775;2,6308;4,5276;61768,1852;444748,3195;SSA
21;2930102;84512;2024-10-16;46;20496;2,8727;5,1782;25829,9527;239187,7858;SSA
22;2970104;84118;2024-10-16;46;31836;2,9618;5,4024;38535,4673;385868,0976;SSA
23;2970101;84095;2024-10-15;45;19962;3,0813;5,3176;37618,5036;239232,519;SSA
24;3880105;84027;2024-10-09;46;38728;2,8436;4,8422;65125,3667;430553,0814;SSA
25;3840210;84039;2024-10-07;45;39733;3,1674;5,4823;76956,2208;489502,6004;SSA
26;3350102;83752;2024-10-08;47;27727;3,9463;6,6634;78768,6356;413731,5804;SSA
27;3840215;84054;2024-10-09;46;36380;3,2905;5,5451;82862,6071;455942,0639;SSA
28;2100205;84149;2024-10-15;47;18420;3,1981;6,2295;9935,7009;255212,9555;SSA
29;2750103;84093;2024-10-15;46;16807;2,8808;5,6815;-6138,1128;224065,9804;SSA
30;2590102;84531;2024-10-15;45;30198;3,1765;4,8944;123866,7716;307886,0078;SSA
