ID LOTE;DATA VENDA;TANQUE ORIGEM;N DIAS;ESPECIE;CUSTO DIARIO;CUSTOS TOTAIS;BIOMASSA;BIOMASSA ESPERADA TOTAL;LUCRO
6173;2022-01-03;TR645;101;Tilapia;357,4883144554455;36106,31976;7065,816;7337,010923;17099,27
6036;2022-01-03;TR213;116;Tilapia;67,2689650862069;7803,19995;1527,045;3940,606526;3695,45
5948;2022-01-03;TR226;125;Tilapia;157,66295888;19707,86986;3856,726;3877,616425;9333,28
6033;2022-01-04;TR641;117;Tilapia;313,4489723076923;36986,97873230769;7176,816;7947,050717;16910,91
6035;2022-01-04;TR213;117;Tilapia;100,77094700854701;11890,971747008547;2307,28;2374,516899;5436,7
6037;2022-01-04;TR245;118;Tilapia;166,66776;19833,46344;3848,688;3883,043875;9070,18
5821;2022-01-05;TR246;136;Tilapia;166,56247897058824;22985,622097941177;4432,974;4570,629346;10173,02
6008;2022-01-05;TR620;120;Tilapia;303,8237795833333;37066,50110916667;7134,805;7536,21972;16301,84
6030;2022-01-05;TR647;119;Tilapia;305,64043647058827;36982,49281294118;7117,654;7611,346833;16257,56
6024;2022-01-06;TR612;119;Tilapia;287,3320794117647;35054,513688235296;6691,295;7438,580341;15330,94
5739;2022-01-06;TR232;143;Tilapia;127,52969825174824;18619,335944755243;3568,835;3988,34165;8253,99
5792;2022-01-06;TR205;139;Tilapia;98,85460431654677;14037,353812949641;2689,0;4130,214376;6210,82
6236;2022-01-06;TR663;97;Tilapia;359,0064742268041;35900,647422680406;6814,8;7361,408115;15414,8
5793;2022-01-07;TR205;140;Tilapia;48,435500000000005;6974,712;1327,0;1549,048773;2991,06
5709;2022-01-07;TR208;144;Tilapia;54,934451736111114;8130,298856944445;1584,055;1462,79586;3765,95
6206;2022-01-10;TR655;104;Tilapia;355,8682615384615;37010,2992;7242,72;7670,004151;17527,38
6185;2022-01-11;TR697;108;Tilapia;304,01107527777776;33137,20720527777;6425,283;7749,198655;15116,67
6018;2022-01-14;TR689;126;Tilapia;297,2299633333334;38639,89523333334;7328,958;8210,413221;16400,58
